表章項目_code,表章項目,出生児数・死亡者数_code,出生児数・死亡者数,男女別_code,男女別,日本人・外国人_code,日本人・外国人,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,27000,大阪府,2023001011,2023年10月～2024年9月,人,27705
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,28000,兵庫県,2023001011,2023年10月～2024年9月,人,15823
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,29000,奈良県,2023001011,2023年10月～2024年9月,人,3451
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,30000,和歌山県,2023001011,2023年10月～2024年9月,人,2353
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,31000,鳥取県,2023001011,2023年10月～2024年9月,人,1621
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,32000,島根県,2023001011,2023年10月～2024年9月,人,1838
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,33000,岡山県,2023001011,2023年10月～2024年9月,人,5531
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,34000,広島県,2023001011,2023年10月～2024年9月,人,8261
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,35000,山口県,2023001011,2023年10月～2024年9月,人,3480
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,36000,徳島県,2023001011,2023年10月～2024年9月,人,1848
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,37000,香川県,2023001011,2023年10月～2024年9月,人,2661
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,38000,愛媛県,2023001011,2023年10月～2024年9月,人,3306
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,39000,高知県,2023001011,2023年10月～2024年9月,人,1625
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,40000,福岡県,2023001011,2023年10月～2024年9月,人,16761
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,41000,佐賀県,2023001011,2023年10月～2024年9月,人,2519
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,42000,長崎県,2023001011,2023年10月～2024年9月,人,3646
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,43000,熊本県,2023001011,2023年10月～2024年9月,人,5315
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,44000,大分県,2023001011,2023年10月～2024年9月,人,3113
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,45000,宮崎県,2023001011,2023年10月～2024年9月,人,3048
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,46000,鹿児島県,2023001011,2023年10月～2024年9月,人,4654
012,出生児数・死亡者数,001,出生児数,001,男,001,日本人,47000,沖縄県,2023001011,2023年10月～2024年9月,人,6159
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,00000,全国,2023001011,2023年10月～2024年9月,人,11297
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,01000,北海道,2023001011,2023年10月～2024年9月,人,105
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,02000,青森県,2023001011,2023年10月～2024年9月,人,5
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,03000,岩手県,2023001011,2023年10月～2024年9月,人,10
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,04000,宮城県,2023001011,2023年10月～2024年9月,人,65
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,05000,秋田県,2023001011,2023年10月～2024年9月,人,3
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,06000,山形県,2023001011,2023年10月～2024年9月,人,6
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,07000,福島県,2023001011,2023年10月～2024年9月,人,42
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,08000,茨城県,2023001011,2023年10月～2024年9月,人,286
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,09000,栃木県,2023001011,2023年10月～2024年9月,人,177
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,10000,群馬県,2023001011,2023年10月～2024年9月,人,345
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,11000,埼玉県,2023001011,2023年10月～2024年9月,人,1062
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,12000,千葉県,2023001011,2023年10月～2024年9月,人,876
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,13000,東京都,2023001011,2023年10月～2024年9月,人,2021
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,14000,神奈川県,2023001011,2023年10月～2024年9月,人,975
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,15000,新潟県,2023001011,2023年10月～2024年9月,人,38
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,16000,富山県,2023001011,2023年10月～2024年9月,人,81
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,17000,石川県,2023001011,2023年10月～2024年9月,人,43
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,18000,福井県,2023001011,2023年10月～2024年9月,人,46
012,出生児数・死亡者数,001,出生児数,001,男,002,外国人,19000,山梨県,2023001011,2023年10月～2024年9月,人,48
